Temperatura	pH	Aw	p	Crec
10	7	0.9410000000144877	0	0
10	6	0.9410000000144877	0	0
10	5	0.9410000000144877	0	0
13	7.5	0.9410000000144877	0.9333333333333333	1
13	6.5	0.9410000000144877	1	1
13	5.5	0.9410000000144877	0.9666666666666667	1
13	4.5	0.9410000000144877	0	0
16	7.5	0.9410000000144877	1	1
16	6.5	0.9410000000144877	1	1
16	5.5	0.9410000000144877	1	1
16	4.5	0.9410000000144877	1	1
10	7.5	0.9410000000144877	0	0
10	6.5	0.9410000000144877	0	0
10	5.5	0.9410000000144877	0	0
10	4.5	0.9410000000144877	0	0
13	7	0.9410000000144877	1	1
13	6	0.9410000000144877	1	1
13	5	0.9410000000144877	0.9666666666666667	1
16	7	0.9410000000144877	1	1
16	6	0.9410000000144877	1	1
16	5	0.9410000000144877	1	1
